Student_ID,Age,Gender,Attendance_Rate,Prior_GPA,LMS_Logins,Study_Hours_Per_Week,Assignment_Submission_Rate,Engagement_Score,Final_Academic_Performance
49,21,Female,99.35,3.17,89,31.4,97.11,78.87,Medium
50,17,Female,49.98,2.25,269,25.0,75.54,38.76,High
51,20,Male,82.46,2.15,83,6.4,32.39,18.07,High
52,18,Male,57.83,1.15,268,10.3,78.76,5.81,Low
53,17,Female,75.49,1.63,107,33.0,88.05,36.47,Medium
54,21,Female,49.35,2.13,212,13.3,51.27,48.38,Medium
55,20,Female,92.72,3.65,235,39.2,34.06,38.7,Low
56,22,Female,73.23,3.57,298,2.5,34.96,12.23,Low
57,22,Female,99.96,3.38,115,12.5,88.06,97.96,Medium
58,24,Female,71.85,2.13,272,39.8,94.62,4.37,Medium
59,19,Male,90.17,2.66,209,12.4,92.8,56.51,Medium
60,24,Male,92.44,2.91,124,5.1,78.15,20.3,Low
61,23,Female,82.36,3.94,130,29.3,85.87,57.99,Medium
62,17,Female,90.1,1.51,114,24.5,73.26,2.1,High
63,20,Male,50.63,2.41,198,7.0,32.5,52.99,Low
64,22,Female,74.48,3.51,36,16.1,74.99,19.94,High
65,22,Female,97.14,3.7,250,27.6,97.83,58.05,High
66,21,Male,72.76,1.68,86,6.2,36.85,73.1,Medium
67,21,Female,71.62,1.77,214,30.8,85.78,51.26,Medium
68,23,Male,71.6,1.11,72,17.4,88.67,76.76,High
69,18,Male,51.71,3.97,92,31.9,81.97,88.4,Medium
70,21,Male,76.06,2.79,179,36.9,65.32,79.64,Medium
71,20,Male,74.14,2.81,216,37.8,89.96,33.55,Low
72,24,Female,97.27,1.07,37,8.6,30.81,97.22,Low
73,18,Female,42.14,2.29,91,1.6,61.32,76.46,High
74,21,Male,87.33,3.05,75,32.3,34.19,77.17,High
75,20,Female,40.93,3.26,40,21.1,36.99,79.94,Medium
76,19,Female,65.21,1.79,217,12.9,56.6,2.83,Low
77,22,Male,54.55,1.91,274,35.2,40.53,32.73,Medium
78,18,Male,83.39,3.28,175,6.1,98.95,87.76,Medium
79,20,Female,88.25,1.83,8,10.6,96.76,22.22,Low
80,21,Male,98.49,1.18,193,4.7,97.91,3.28,Medium
81,19,Female,71.71,2.21,91,3.9,47.01,48.96,Medium
82,22,Female,40.44,3.12,242,38.9,59.88,55.15,High
83,23,Male,51.37,2.16,206,26.8,46.62,67.39,High
84,22,Male,40.79,2.97,41,28.2,92.62,26.46,Medium
85,20,Male,74.21,2.43,208,6.0,70.16,3.6,Medium
86,17,Female,87.91,2.84,227,38.1,35.3,15.36,Medium
87,18,Female,72.07,3.01,9,18.1,97.38,75.05,Medium
88,23,Female,56.99,1.08,281,4.5,78.24,3.19,Low
89,22,Female,44.37,2.72,245,18.7,45.14,21.98,Medium
90,17,Male,65.32,3.27,152,7.3,67.11,39.82,Medium
91,19,Male,58.93,1.36,172,2.2,49.97,89.61,Low
92,20,Male,46.63,2.41,30,24.5,92.75,23.84,Medium
93,18,Male,44.96,2.42,43,39.4,80.92,50.14,Low
94,23,Male,67.34,1.53,206,33.5,66.69,15.89,Medium
95,23,Female,83.86,1.7,70,32.6,96.42,85.92,High
96,23,Female,49.64,1.51,27,37.0,85.71,7.3,Low
97,22,Male,50.86,1.17,65,8.4,37.24,9.65,High
98,19,Female,56.92,1.36,78,22.2,49.78,51.97,Medium
99,21,Male,92.13,1.81,54,26.6,81.75,99.58,Medium
100,19,Female,93.26,2.37,134,7.5,71.86,62.45,High
101,20,Male,88.81,1.11,29,20.5,35.15,78.12,Medium
102,24,Female,84.78,3.3,130,25.1,94.31,86.52,Low
103,18,Male,81.79,2.13,171,23.8,59.22,39.06,High
104,20,Male,44.22,3.32,208,36.5,87.31,28.24,Medium
105,19,Female,42.15,1.94,50,34.3,30.35,83.84,Medium
106,18,Male,46.03,3.61,270,23.5,42.35,8.93,High
107,24,Female,87.72,2.46,237,13.1,58.09,31.29,Medium
108,17,Female,92.96,2.38,99,15.1,64.13,93.84,Low
109,20,Female,84.74,1.43,278,28.5,53.35,21.51,Medium
110,24,Female,79.06,1.48,168,15.2,88.94,71.57,High
111,23,Female,48.28,2.76,205,18.1,54.19,27.59,High
112,18,Male,90.78,2.13,243,12.7,31.68,98.9,High
113,19,Female,53.02,2.42,53,33.3,51.69,61.45,High
114,19,Female,72.48,2.18,38,37.4,36.73,46.34,High
115,17,Female,66.65,1.91,20,39.8,79.76,89.28,Low
116,24,Male,66.49,3.25,127,35.7,55.57,55.54,High
117,17,Female,46.27,1.5,81,13.1,36.21,84.26,Low
118,22,Male,50.33,3.52,168,33.2,32.28,88.21,Low
119,17,Female,58.1,1.07,47,31.2,78.54,98.32,Medium
120,18,Male,59.26,2.72,126,32.5,61.64,31.34,High
121,18,Female,64.1,3.88,11,27.3,92.24,44.33,High
122,17,Female,70.4,2.11,114,33.7,45.26,93.55,Medium
123,17,Male,81.9,3.34,97,16.3,71.04,9.37,Medium
124,22,Female,51.47,3.21,298,5.7,76.77,88.52,Medium
125,21,Female,73.43,3.65,174,4.1,77.8,84.86,Medium
126,21,Female,51.97,2.15,75,28.1,61.05,2.12,Medium
127,23,Male,49.99,3.85,93,2.4,42.87,87.84,Medium
128,24,Female,76.11,1.81,249,14.3,96.92,0.59,Low
129,19,Male,81.91,1.97,213,11.6,61.2,99.31,Low
130,24,Female,97.72,3.34,192,14.9,44.17,86.69,Low
131,18,Female,70.29,3.97,120,6.5,46.35,71.55,Medium
132,17,Male,92.22,3.5,106,29.2,33.47,77.62,Medium
133,22,Female,41.21,2.47,183,9.4,64.42,30.41,Medium
134,24,Female,62.9,2.15,223,16.2,59.88,0.74,Medium
135,17,Male,51.11,1.04,21,8.1,64.09,95.29,Low
136,22,Female,90.92,2.48,156,22.9,86.14,37.7,Medium
137,24,Female,74.34,2.86,134,26.2,33.95,67.04,Low
138,19,Male,63.17,2.5,54,20.4,58.98,83.2,High
139,18,Male,70.35,2.71,248,9.6,56.58,82.65,Medium
140,17,Male,48.95,2.09,104,22.8,92.77,51.34,Medium
141,23,Female,93.02,3.17,134,28.7,83.55,92.82,Low
142,23,Female,99.74,1.44,102,13.5,58.72,41.94,Medium
143,20,Female,50.11,2.12,178,10.7,43.1,97.47,Low
144,18,Female,72.34,3.11,11,17.3,30.38,71.47,Medium
145,17,Male,58.37,3.53,105,32.3,91.99,32.49,Low
146,17,Female,61.33,3.86,109,38.0,57.53,38.77,Medium
147,22,Female,44.39,1.64,242,27.4,91.44,54.67,Medium
148,23,Female,81.66,1.28,273,37.3,52.39,44.86,High
149,20,Male,92.65,3.43,163,19.9,59.69,30.11,Low
150,24,Male,94.95,1.85,152,39.2,57.01,86.5,Low
151,23,Male,52.1,1.07,264,20.0,33.31,75.02,High
152,19,Female,41.55,1.26,20,6.5,94.47,88.82,High
153,20,Male,43.32,3.81,133,18.8,40.11,71.68,Medium
154,21,Female,42.75,2.06,18,1.1,36.27,73.54,Medium
155,20,Female,84.39,3.56,248,29.9,91.75,46.71,Medium
156,18,Male,44.02,3.31,200,6.6,61.19,84.91,Medium
157,21,Male,95.51,1.02,66,32.5,63.98,1.59,High
158,24,Male,85.16,2.99,256,7.6,97.3,69.94,High
159,19,Male,54.55,3.49,220,6.4,62.56,60.81,Medium
160,21,Female,80.44,1.59,153,2.8,66.55,17.62,Low
161,23,Female,68.59,1.9,107,8.7,96.5,0.43,High
162,20,Male,54.25,1.32,159,38.4,58.28,30.58,Medium
163,17,Male,84.26,2.98,118,26.9,41.42,16.06,Medium
164,21,Female,78.09,1.4,170,25.0,99.63,17.73,Medium
165,24,Male,60.87,2.3,75,27.7,90.42,63.14,High
166,22,Female,69.57,2.84,83,11.1,56.4,31.21,Low
167,17,Female,92.74,1.03,143,24.8,53.21,18.15,Low
168,24,Male,97.33,1.41,65,11.1,53.53,43.09,Medium
169,22,Male,56.37,1.34,59,36.2,32.27,13.56,High
170,17,Female,92.77,3.7,293,36.5,51.68,32.72,Medium
171,18,Male,47.1,1.01,239,30.7,87.78,97.83,Medium
172,22,Female,77.68,2.35,63,23.3,42.09,69.93,Low
173,18,Female,89.28,3.58,14,18.3,73.57,78.78,High
174,23,Female,82.55,2.32,118,3.8,50.6,81.19,High
175,18,Female,54.17,1.03,234,10.6,70.18,14.61,High
176,20,Female,81.08,1.73,147,30.8,42.69,63.12,Medium
177,23,Male,83.3,1.86,38,14.0,55.45,29.33,Low
178,24,Female,51.47,1.97,48,31.2,89.71,89.77,Medium
179,24,Male,83.06,1.03,110,31.9,60.61,71.91,Medium
180,23,Male,51.69,3.33,76,25.6,36.55,45.76,Medium
181,17,Male,78.45,3.04,6,19.9,92.42,86.58,High
182,20,Female,58.53,3.84,160,34.7,58.99,16.83,High
183,21,Female,59.84,1.66,109,16.6,84.6,62.11,Medium
184,19,Male,48.7,1.35,67,1.6,39.56,0.25,High
185,19,Female,68.25,1.02,231,38.4,68.24,98.29,Low
186,23,Female,80.25,3.37,96,15.3,71.04,85.72,Medium
187,21,Male,53.12,1.8,179,8.4,81.71,97.43,High
188,20,Female,91.35,1.98,83,4.2,44.41,73.33,Medium
189,21,Male,77.83,2.59,227,18.1,37.51,28.79,High
190,21,Female,77.46,1.29,55,11.2,99.24,60.42,Medium
191,20,Female,52.0,2.4,247,34.3,95.74,86.51,Low
192,18,Male,55.09,2.72,180,24.3,80.06,52.15,Medium
193,20,Female,52.45,2.48,265,14.2,38.66,89.11,Low
194,19,Female,89.35,2.1,139,36.7,32.83,80.71,Medium
195,19,Male,92.16,1.8,184,20.1,34.37,79.88,Low
196,23,Male,90.57,1.86,73,21.3,50.0,49.67,Medium
197,24,Male,99.7,1.64,94,6.2,99.7,71.97,Medium
198,23,Male,96.31,1.44,49,36.5,66.72,77.05,Low
199,19,Female,51.63,1.39,121,1.6,99.72,59.63,High
200,18,Male,91.75,1.48,88,26.9,78.4,2.76,Medium
201,19,Male,69.47,3.18,55,34.3,34.39,33.2,Medium
202,18,Male,76.39,1.89,292,29.7,42.61,12.53,High
203,20,Male,60.34,1.76,18,20.8,30.47,12.25,Medium
204,20,Female,46.6,2.16,144,28.8,86.98,69.27,Medium
205,20,Male,41.9,3.2,236,6.0,74.59,17.62,Medium
206,19,Female,73.46,1.81,84,21.3,65.83,59.66,High
207,19,Female,52.38,1.99,155,26.6,97.45,81.81,Medium
208,22,Male,52.68,2.75,36,14.2,58.42,60.5,Medium
209,23,Male,42.72,1.0,285,36.2,32.29,14.57,Low
210,20,Female,78.92,1.6,128,38.7,58.76,73.31,Medium
211,23,Female,80.43,1.61,26,34.1,36.37,15.52,High
212,22,Male,49.24,2.52,38,11.5,91.75,81.43,High
213,18,Female,63.03,3.78,247,6.8,63.8,16.76,High
214,20,Female,43.39,1.95,253,38.7,44.59,9.73,Medium
215,17,Female,96.1,2.49,27,23.7,99.36,78.23,Medium
216,19,Female,68.47,2.61,32,23.4,73.09,10.38,Medium
217,20,Male,68.45,1.88,38,10.1,92.41,54.13,High
218,22,Female,94.42,2.64,197,15.5,85.36,69.94,High
219,22,Male,89.77,3.76,136,35.8,99.33,39.14,Medium
220,21,Female,77.28,3.88,24,18.5,83.75,21.14,High
221,17,Male,57.2,1.64,126,21.0,47.04,1.95,Medium
222,20,Female,52.05,2.2,233,11.9,97.09,6.48,Medium
223,19,Male,98.86,1.98,45,10.8,99.42,6.91,Medium
224,18,Male,60.37,3.18,150,25.1,37.24,99.07,Medium
225,18,Female,89.13,2.56,264,21.9,36.19,3.63,Low
226,20,Female,40.88,4.0,24,19.4,50.22,81.92,Medium
227,17,Female,80.13,3.44,6,34.8,62.1,98.52,High
228,20,Female,93.97,1.79,250,33.3,63.69,87.43,High
229,17,Female,91.27,1.79,64,38.9,40.84,10.32,Medium
230,19,Female,71.63,2.84,186,30.1,78.91,57.28,Low
231,21,Female,54.91,3.64,205,39.5,93.44,34.6,High
232,21,Female,92.93,3.58,212,25.7,89.78,26.21,Medium
233,21,Male,46.58,1.12,139,37.6,32.45,23.13,Medium
234,22,Male,86.91,2.66,96,5.1,32.64,82.29,High
235,20,Male,69.21,2.71,179,23.3,52.01,62.74,High
236,17,Male,60.95,3.82,202,18.4,95.54,47.84,Medium
237,21,Male,52.3,3.48,271,34.4,64.7,8.42,Medium
238,21,Female,58.16,2.73,221,15.7,32.17,51.71,Low
239,18,Female,81.52,3.3,157,27.9,78.93,17.01,High
240,23,Female,63.31,1.96,167,8.2,74.91,91.2,Medium
241,21,Female,92.27,2.9,179,24.3,49.0,97.99,High
242,19,Female,41.43,2.42,137,27.9,43.85,72.82,Medium
243,17,Female,97.2,3.76,121,20.3,87.44,55.32,Medium
244,17,Female,86.28,2.06,111,9.4,53.19,48.41,High
245,23,Female,62.39,2.76,8,18.8,56.14,3.49,Medium
246,17,Male,77.66,3.24,25,31.0,49.44,55.97,Medium
247,17,Female,72.83,2.65,84,24.9,55.95,45.74,Medium
248,18,Female,50.94,1.56,17,18.3,69.26,9.24,High
249,18,Female,62.97,2.22,58,15.5,78.37,45.13,High
250,19,Male,72.24,2.76,289,8.4,70.68,86.45,Medium
251,22,Male,81.1,1.14,288,36.5,74.16,24.82,Medium
252,19,Female,57.9,3.97,255,25.3,47.06,53.96,Medium
253,22,Male,46.6,3.0,31,22.0,84.15,24.96,Medium
254,20,Male,68.62,2.13,5,22.5,94.93,97.33,Medium
255,20,Male,48.35,2.0,126,34.2,49.32,72.1,Medium
256,21,Female,60.69,2.54,49,13.3,45.48,3.55,Low
257,20,Male,66.46,2.63,33,21.9,31.17,74.54,Low
258,19,Female,66.49,3.12,195,4.9,55.38,48.2,High
259,23,Male,93.03,2.5,129,31.8,92.54,18.28,Medium
260,20,Male,47.41,3.97,156,35.6,56.67,58.88,Medium
261,19,Female,41.0,3.78,83,8.3,81.05,54.26,Low
262,19,Female,92.46,1.38,128,3.5,78.2,28.58,Low
263,24,Female,46.54,1.45,124,25.6,63.45,67.97,High
264,22,Male,48.75,3.8,8,39.7,83.08,33.92,Medium
265,17,Male,55.97,1.59,95,38.4,93.04,80.3,Low
266,23,Male,55.38,2.96,87,26.1,35.59,71.72,Medium
267,17,Male,57.84,2.75,263,3.4,50.89,64.07,High
268,24,Female,52.45,3.99,89,31.0,60.44,18.15,Low
269,24,Male,47.52,1.23,228,5.6,33.93,81.36,Medium
270,24,Female,91.52,2.17,40,8.6,33.07,3.25,Medium
271,19,Male,79.69,3.34,153,28.4,70.12,84.43,High
272,18,Male,81.13,1.23,65,7.4,44.04,21.11,Medium
273,17,Male,74.05,3.45,82,4.0,33.19,40.37,High
274,22,Female,54.87,2.5,166,2.2,57.89,10.4,Medium
275,22,Male,62.01,1.62,33,10.2,96.25,35.94,High
276,20,Male,94.68,3.95,254,2.7,87.8,75.38,High
277,19,Female,97.81,1.61,114,7.2,89.92,23.44,Medium
278,20,Female,76.55,3.71,73,35.0,96.12,79.14,Medium
279,17,Male,91.58,2.12,212,30.5,47.42,60.44,Medium
280,17,Female,50.46,2.68,118,24.4,93.43,7.85,High
281,21,Female,65.77,1.67,160,24.9,64.65,43.79,Medium
282,20,Female,78.5,3.24,102,31.8,49.55,35.96,Medium
283,18,Male,62.41,1.66,71,9.7,68.44,62.96,Medium
284,24,Male,65.0,3.38,223,2.6,79.01,44.25,High
285,21,Male,41.38,1.92,175,6.7,90.0,15.53,High
286,21,Male,91.87,1.65,281,22.0,87.6,63.78,High
287,18,Male,89.36,1.19,225,37.0,74.99,99.63,Medium
288,24,Male,71.37,3.12,182,20.3,43.0,28.17,High
289,19,Male,89.9,3.03,240,36.0,95.11,46.97,Medium
290,24,Female,83.03,3.4,125,30.1,52.05,8.46,Medium
291,18,Male,82.84,3.3,193,19.9,65.61,18.43,Medium
292,21,Female,81.22,3.43,90,29.1,57.76,88.57,Medium
293,19,Female,50.23,3.93,152,27.7,74.53,60.31,High
294,17,Male,87.84,2.51,68,15.5,94.06,46.61,High
295,17,Male,97.86,1.67,14,35.2,80.39,79.06,High
296,22,Female,93.85,3.96,224,13.4,89.7,51.26,High
297,19,Male,65.62,3.96,153,26.1,37.78,47.79,Medium
298,18,Female,85.7,2.88,233,25.6,67.13,66.47,Medium
299,23,Female,73.02,3.91,99,10.1,30.25,72.27,Medium
300,23,Male,45.33,3.27,155,12.8,66.33,51.9,Low
301,20,Male,84.78,3.11,197,21.1,93.47,81.01,High
302,18,Male,82.03,2.12,292,21.7,70.67,93.23,Medium
303,23,Male,74.32,1.71,208,8.8,81.49,9.53,Low
304,18,Female,71.78,3.05,63,23.6,85.21,56.86,Low
305,22,Male,92.06,2.07,232,22.1,62.58,96.9,Medium
306,18,Male,42.32,1.88,242,10.5,45.37,31.76,Low
307,20,Female,92.02,2.87,35,16.5,59.93,33.54,Medium
308,17,Male,95.3,1.76,161,16.7,47.84,18.77,Medium
309,17,Male,46.11,1.71,266,2.0,48.87,87.12,Medium
310,18,Female,81.85,2.05,151,13.4,76.79,42.98,Medium
311,19,Male,81.45,3.53,141,38.9,51.59,71.1,Medium
312,23,Male,95.74,1.09,284,1.7,84.35,65.05,Medium
313,21,Female,74.81,3.57,103,11.4,66.21,45.84,High
314,22,Male,47.35,1.58,201,39.6,69.07,49.16,Medium
315,18,Female,68.9,2.44,54,5.1,92.52,28.77,Medium
316,18,Male,63.59,1.25,197,26.6,63.69,35.18,Medium
317,20,Male,65.07,3.03,228,30.8,56.95,63.2,Medium
318,24,Female,66.91,2.3,47,3.7,79.59,64.6,High
319,19,Male,63.57,2.88,258,1.6,80.27,91.57,High
320,20,Female,43.89,3.03,222,11.1,93.71,12.59,High
321,22,Male,56.76,2.74,213,33.0,75.04,54.92,Low
322,18,Male,48.69,3.15,18,29.5,79.8,76.83,High
323,23,Male,66.15,1.88,136,2.5,59.47,2.21,High
324,24,Male,66.07,2.49,45,14.5,85.73,11.32,Medium
325,23,Male,44.81,1.25,47,34.3,84.2,67.08,Medium
326,23,Female,41.38,1.55,58,31.5,56.75,99.5,Medium
327,23,Female,52.99,2.93,146,14.3,52.92,78.17,Low
328,24,Female,52.88,2.63,149,3.9,34.23,65.39,Medium
329,22,Female,78.95,3.18,159,10.4,64.02,53.31,Medium
330,23,Male,91.95,1.81,259,35.1,33.66,91.33,High
331,19,Male,70.5,1.78,63,17.1,55.1,2.87,Medium
332,19,Female,62.15,3.4,157,31.9,88.79,17.71,Medium
333,21,Female,47.44,1.33,65,34.6,61.12,41.53,High
334,18,Male,68.51,3.14,297,7.2,89.76,31.68,Medium
335,22,Male,59.98,1.78,135,13.8,78.34,90.4,Medium
336,24,Male,99.49,2.69,99,18.1,83.86,22.16,High
337,22,Male,42.43,3.32,60,3.0,50.16,14.95,Low
338,19,Female,85.39,1.9,206,8.4,67.66,42.72,High
339,24,Female,73.6,1.68,209,12.1,50.79,39.33,Medium
340,19,Female,47.45,3.64,279,28.8,85.87,5.0,Medium
341,21,Male,45.72,3.24,69,29.4,51.97,53.47,High
342,21,Male,87.23,1.66,202,15.5,64.99,57.08,Medium
343,22,Female,46.43,3.83,218,1.1,67.62,51.85,Medium
344,22,Male,96.06,1.22,118,11.3,73.03,38.02,Low
345,20,Female,48.71,1.96,222,27.4,98.19,46.44,High
346,24,Female,49.44,1.31,186,8.5,56.73,84.64,High
347,18,Female,90.46,3.94,112,23.0,61.58,96.82,High
348,17,Female,81.83,2.51,30,39.8,80.17,90.88,Medium
349,21,Female,68.42,3.39,209,20.4,60.49,55.27,High
350,23,Female,79.29,2.18,11,33.0,38.43,71.25,High
351,17,Male,82.08,2.6,215,8.3,43.24,11.61,High
352,21,Male,77.96,2.92,286,3.2,30.17,62.53,High
353,21,Female,61.16,3.81,48,21.0,85.82,95.21,Medium
354,23,Male,98.93,1.85,222,11.5,53.13,94.12,High
355,21,Female,60.78,2.87,279,31.0,34.8,82.06,High
356,23,Male,51.42,2.83,105,27.9,62.0,29.5,High
357,18,Female,74.41,1.98,115,13.6,52.42,71.46,High
358,21,Female,97.87,3.01,102,25.5,62.96,87.8,Medium
359,24,Female,95.09,3.22,203,6.3,47.26,21.2,High
360,22,Female,61.21,1.85,102,38.6,63.21,47.27,Medium
361,21,Male,92.18,2.24,24,10.2,41.99,28.96,High
362,18,Male,55.9,2.7,106,30.1,87.27,5.45,Low
363,20,Male,55.03,1.81,58,32.4,68.17,49.49,Low
364,18,Female,80.74,3.48,11,8.0,51.01,27.74,High
365,18,Female,70.81,1.66,227,31.8,79.09,51.07,High
366,20,Male,47.83,1.35,176,15.8,70.93,73.59,Medium
367,22,Female,64.44,3.69,150,25.1,68.35,44.98,Medium
368,18,Female,82.81,3.12,107,23.7,33.14,2.24,High
369,23,Male,96.5,3.08,39,27.0,37.3,5.73,High
370,23,Female,61.44,1.3,249,32.5,85.75,96.95,Medium
371,18,Male,65.23,2.35,58,28.5,73.38,4.4,Low
372,22,Female,84.14,2.86,48,11.9,40.0,50.49,High
373,18,Male,47.49,3.91,170,32.5,84.68,40.41,Medium
374,22,Male,64.31,2.5,108,7.2,63.94,52.93,Medium
375,20,Female,93.15,2.93,168,36.2,83.75,0.65,Low
376,18,Female,44.95,2.83,75,38.3,56.42,13.29,High
377,18,Female,55.4,1.55,156,6.7,78.21,12.44,Low
378,24,Male,67.82,3.4,297,33.7,89.87,81.12,Low
379,23,Female,99.4,3.09,116,38.3,46.17,71.24,Medium
380,17,Female,71.64,1.61,24,15.4,97.83,9.19,High
381,18,Female,82.7,3.32,233,18.1,36.18,45.68,Low
382,18,Female,75.93,2.8,92,37.0,74.7,20.95,High
383,22,Male,90.14,2.31,238,12.5,34.11,46.19,Low
384,22,Female,74.07,2.99,225,11.4,90.68,85.32,High
385,23,Male,60.99,2.97,133,17.3,82.78,53.53,Low
386,21,Male,64.34,2.08,73,37.5,58.44,50.52,Low
387,24,Male,69.94,2.08,190,36.3,93.85,8.73,Medium
388,23,Female,64.96,1.94,279,3.6,60.88,5.67,Medium
389,23,Female,86.37,3.41,180,23.2,48.09,2.27,High
390,22,Male,64.3,3.37,26,39.1,59.48,64.95,Low
391,24,Male,65.4,1.77,107,31.9,94.69,75.52,Medium
392,20,Female,63.31,1.12,67,13.0,40.81,51.3,High
393,17,Female,98.58,2.95,142,21.1,36.94,43.17,Low
394,17,Female,65.32,3.44,84,14.2,89.53,91.07,Medium
395,21,Male,92.22,3.65,175,8.1,86.76,98.83,Medium
396,24,Male,43.34,1.52,79,29.4,74.94,1.64,High
397,20,Male,99.69,3.34,47,38.5,65.18,10.95,Medium
398,17,Female,41.12,2.77,43,35.1,84.15,90.31,High
399,24,Male,59.54,1.38,251,29.6,44.84,6.23,High
400,19,Male,64.47,3.43,141,14.9,66.27,9.99,Medium
401,18,Female,46.53,2.46,82,21.5,82.35,20.59,High
402,20,Female,57.46,3.08,278,10.2,31.5,48.39,Medium
403,24,Male,74.73,3.69,294,25.6,48.35,62.35,Medium
404,19,Female,49.77,1.93,93,14.3,81.54,3.41,Medium
405,22,Male,55.94,3.82,125,33.4,67.26,97.07,Medium
406,17,Female,54.78,3.74,200,18.1,50.46,17.99,Medium
407,22,Male,91.61,1.73,76,10.2,82.45,76.49,Medium
408,19,Female,41.48,3.84,147,13.8,78.03,91.28,High
409,21,Male,49.15,3.01,227,24.7,36.56,95.69,High
410,20,Female,91.69,3.36,19,38.6,68.07,74.9,Low
411,18,Male,41.3,1.4,275,31.5,54.64,58.73,Medium
412,21,Male,80.64,3.25,218,4.6,37.53,88.73,Medium
413,17,Female,80.97,2.98,188,34.4,73.4,23.13,Low
414,21,Female,44.69,2.44,297,36.0,90.91,34.63,Low
415,18,Female,78.46,3.0,198,14.5,63.17,39.48,Medium
416,24,Female,96.07,2.72,148,23.9,47.69,36.36,Low
417,23,Male,69.45,3.96,285,9.9,45.33,0.59,High
418,24,Female,73.72,1.04,186,12.7,50.51,56.4,Medium
419,21,Female,94.01,1.22,25,32.9,86.89,38.41,High
420,21,Female,63.68,1.8,286,1.5,33.78,54.65,Medium
421,20,Female,65.35,2.42,9,21.3,79.21,95.85,Low
422,21,Male,99.84,1.96,243,30.3,47.37,32.5,High
423,24,Male,48.65,1.12,206,13.1,43.83,90.15,High
424,19,Male,42.8,2.1,211,8.7,34.31,37.45,High
425,19,Male,74.02,3.05,260,29.9,79.29,53.48,Medium
426,19,Male,95.63,1.3,245,21.3,92.01,58.44,High
427,22,Male,60.12,3.34,24,8.1,48.72,3.55,Medium
428,18,Male,93.86,2.8,283,3.0,45.02,71.65,Medium
429,22,Female,86.14,2.38,78,23.1,86.38,13.6,Medium
430,23,Female,99.5,3.89,58,4.3,74.49,39.48,Low
